INVOICE NO,PO NO,INVOICE DATE,AMOUNT,EXPECTED PAYMENT DATE,STATUS,CURRENCY,REASON
ISI-21932293,8500002876,27-Oct-19,27907.42,2-Apr-20,Paid,SAR,
ISI-21932353,8500002876,30-Oct-19,34557.41,2-Apr-20,Paid,SAR,
ISI-21932266,8500002838,23-Oct-19,12332.25,2-Apr-20,Paid,SAR,
ISI-21932354,8500002876,30-Oct-19,21229.03,2-Apr-20,Paid,SAR,
ISI-22030639,8500003009,22-Mar-20,29122.09,4-Jun-20,Paid,SAR,
ISI-22030641,8500003009,22-Mar-20,44687.24,4-Jun-20,Paid,SAR,
ISI-22030663,8500003009,22-Mar-20,51118.4,4-Jun-20,Paid,SAR,
ISI-22030642,8500003009,22-Mar-20,44516.68,4-Jun-20,Paid,SAR,
MSI-22030015,,25-Feb-20,40320,30-Apr-20,Paid,SAR,
ISI-22030827,8500003009,9-Apr-20,28300.91,30-Jun-20,Paid,SAR,
MSI-22030024,8000085299,31-Mar-20,6966.75,4-Jun-20,Paid,SAR,
MSI-22030021,4502180288,31-Mar-20,4588.5,4-Jun-20,Paid,SAR,
ISI-22031034,8500003095,30-Apr-20,175140,30-Jun-20,Paid,SAR,
ISI-22040691,8500003056,20-May-20,9996,28-Jul-20,Paid,SAR,
ISI-22031184,8500003073,31-May-20,36227.92,28-Jul-20,Paid,SAR,
ISI-22040703,8500003056,28-May-20,19992,28-Jul-20,Paid,SAR,
ISI-22031183,,31-May-20,50518.68,28-Jul-20,Paid,SAR,
ISI-22040742,8500003056,8-Jun-20,59976,29-Aug-20,Post,SAR,
MSI-22030033,4502233086,31-May-20,30240,28-Jul-20,Paid,SAR,
ISI-22031206,8500003095,31-May-20,28988.59,28-Jul-20,Paid,SAR,
ISI-22031075,8500003095,10-May-20,68304.6,28-Jul-20,Paid,SAR,
ISI-22031247,8500003095,31-May-20,25563.14,28-Jul-20,Paid,SAR,
ISI-22031248,8500003073,31-May-20,37072.48,28-Jul-20,Paid,SAR,
ISI-22031188,,31-May-20,35943.55,28-Jul-20,Paid,SAR,
ISI-22040470,8500003038,7-Apr-20,359.86,28-Jul-20,Paid,SAR,
ISI-22040469,8500003056,7-Apr-20,29988,28-Jul-20,Paid,SAR,
ISI-22031314,8500003095,14-Jun-20,74743.91,29-Aug-20,Post,SAR,
ISI-22031486,8500003107,29-Jun-20,21073.72,29-Aug-20,Post,SAR,
ISI-22031485,8500003095,29-Jun-20,56082.75,29-Aug-20,Post,SAR,
ISI-21932660,,4-Dec-19,24696,5-Mar-20,Paid,SAR,
ISI-21941785,,11-Dec-19,19177.2,5-Mar-20,Paid,SAR,
ISI-21941786,,11-Dec-19,143829,5-Mar-20,Paid,SAR,
ISI-21932680,,9-Dec-19,38690.4,5-Mar-20,Paid,SAR,
